V080101a,V082425,V083037a,V083037b,V083069,V083105,V083108x,V083112,V083113,V083114a,V083114b,V083115,V083115a,V083116,V083117,V083117a,V083118,V083118a,partyID,ideology,FTobama,FTmccain,servicespending,servicespending2,servicespendingFULL,DEMmuchlessspend,DEMmorespend,DEMmuchmorespend,REPmuchlessspend,REPlessspend,REPmorespend,REPmuchmorespend,DEMlessspend
178152.29,1. Democratic Presidential cand is 1st (defense spending),15,85,-7. Haven't thought much about it,"-1. INAP, R selected for VERSION NEW",6. Somewhat fewer,"-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW",5. About the same,"-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD",4. Very important,3. Less,3. Somewhat,1. More,5. Slightly,1,0.5,15,85,,2,2,,,,,,,,
215644.03,2. Republican Presidential cand is 1st (defense spending),40,100,5. Slightly conservative,4,"-1. INAP, R selected for VERSION OLD",7. Govt should increase defense spending,4. Very important,2,7. Govt should increase defense spending,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",1,0.6666667,40,100,4,,4,1,0,0,0,0,0,0,0
183772.3,1. Democratic Presidential cand is 1st (defense spending),40,85,5. Slightly conservative,2,"-1. INAP, R selected for VERSION OLD",5,3. Somewhat important,1. Govt should decrease defense spending,6,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",1,0.6666667,40,85,2,,2,1,0,0,0,0,1,0,0
97545.332,2. Republican Presidential cand is 1st (defense spending),100,15,2. Liberal,5,"-1. INAP, R selected for VERSION OLD",4,4. Very important,4,6,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0.5,0.1666667,100,15,5,,5,0,0,0,0,0,1,0,0
228131.94,1. Democratic Presidential cand is 1st (defense spending),70,60,2. Liberal,"-1. INAP, R selected for VERSION NEW",4. About the same,"-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW",3. Less,5. Slightly,2. Slightly important,3. Less,3. Somewhat,1. More,5. Slightly,0.5,0.1666667,70,60,,4,4,,,,,,,,
92839.109,1. Democratic Presidential cand is 1st (defense spending),70,50,2. Liberal,5,"-1. INAP, R selected for VERSION OLD",5,2. Not too important,4,4,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0.5,0.1666667,70,50,5,,5,0,0,0,0,1,0,0,1
92839.109,1. Democratic Presidential cand is 1st (defense spending),85,50,4. Moderate; middle of the road,"-1. INAP, R selected for VERSION NEW",3. Slightly more,"-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW",5. About the same,"-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD",4. Very important,5. About the same,"-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD",1. More,3. Somewhat,0.5,0.5,85,50,,5,5,,,,,,,,
43264.744,1. Democratic Presidential cand is 1st (defense spending),70,80,4. Moderate; middle of the road,"-1. INAP, R selected for VERSION NEW",1. A lot more,"-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW",5. About the same,"-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD",3. Moderately important,5. About the same,"-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD",5. About the same,"-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0,0.5,70,80,,7,7,,,,,,,,
92839.109,1. Democratic Presidential cand is 1st (defense spending),60,40,-7. Haven't thought much about it,"-1. INAP, R selected for VERSION NEW",4. About the same,"-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW",5. About the same,"-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD",2. Slightly important,5. About the same,"-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD",5. About the same,"-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0,0.5,60,40,,4,4,,,,,,,,
95544.615,1. Democratic Presidential cand is 1st (defense spending),85,35,2. Liberal,5,"-1. INAP, R selected for VERSION OLD",5,4. Very important,4,6,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0,0.1666667,85,35,5,,5,0,0,0,0,0,1,0,1
